====================================================================================================
 가감속 vs 등속 — 전 패턴 gyro/vel 추정오차 (benign). ★p90=피크 스파이크
====================================================================================================

【등속(SPEED_MOD=0)】
        패턴   바람 |  가속max|   gyro등속   gyro가감속 | gyro등속p90 gyro가감p90    피크비율|   vel등속 vel가감p90|  corr
    circle    0 |   0.52|    0.104     0.105 |     0.186     0.186    1.00|   0.101    0.410|  0.03
    circle    9 |  10.58|    0.146     0.213 |     0.351     0.561    1.60|   0.462    3.433|  0.24
    circle   12 |  14.28|    0.203     0.292 |     0.653     1.080    1.65|   0.863   11.081|  0.24
   figure8    0 |   0.78|    0.114     0.108 |     0.194     0.193    1.00|   0.104    0.406|  0.07
   figure8    9 |   6.29|    0.136     0.198 |     0.356     0.519    1.46|   0.387    2.788|  0.30
  waypoint    0 |   2.08|    0.104     0.136 |     0.176     0.886    5.03|   0.107    0.742|  0.33
  waypoint    9 |   6.79|    0.152     0.302 |     0.419     0.946    2.26|   0.457    3.519|  0.31
  waypoint   12 |  13.70|    0.245     0.353 |     0.808     1.247    1.54|   1.380   10.916|  0.05
aggressive    0 |   2.30|    0.087     0.091 |     0.150     0.211    1.40|   0.093    0.514|  0.26
aggressive    9 |   7.27|    0.130     0.183 |     0.330     0.453    1.37|   0.407    3.031|  0.12
aggressive   12 |   6.21|    0.170     0.277 |     0.521     0.734    1.41|   0.844    4.605|  0.12

【가감속(SPEED_MOD=0.45)】
        패턴   바람 |  가속max|   gyro등속   gyro가감속 | gyro등속p90 gyro가감p90    피크비율|   vel등속 vel가감p90|  corr
    circle    0 |   1.46|    0.092     0.121 |     0.166     0.214    1.28|   0.158    0.616|  0.24
    circle    9 |   6.22|    0.144     0.190 |     0.352     0.510    1.45|   0.428    3.109|  0.25
    circle   12 |  11.95|    0.200     0.294 |     0.514     0.733    1.43|   0.864   12.398|  0.16
   figure8    0 |   1.69|    0.100     0.118 |     0.186     0.219    1.18|   0.148    0.523|  0.21
   figure8    9 |   5.27|    0.128     0.196 |     0.345     0.609    1.77|   0.470    2.747|  0.31
  waypoint    0 |   2.08|    0.100     0.139 |     0.195     0.473    2.42|   0.133    0.808|  0.09
  waypoint    9 |   8.72|    0.145     0.232 |     0.371     0.677    1.83|   0.412    2.898|  0.11
  waypoint   12 |   8.72|    0.223     0.290 |     0.671     1.064    1.59|   1.022    7.288|  0.12
aggressive    0 |   2.62|    0.085     0.096 |     0.163     0.215    1.32|   0.121    0.613|  0.09
aggressive    9 |   7.70|    0.132     0.229 |     0.345     0.666    1.93|   0.465    3.236|  0.13
