====================================================================================================
 시간창 grid: 영역별 gyro/vel NIS (clean/바람만/겹침/공격만) — track
====================================================================================================
      pat  ws     δ | clean_g   바람_g   겹침_g   공격_g |   바람_v   겹침_v |   생존
aggressive   4  0.40 |    0.26   0.36   2.60   2.61 |   0.30   1.20 | 1.00
aggressive   4  0.60 |    0.26   0.38   2.99   2.99 |   0.31   1.23 | 1.00
aggressive   4  0.75 |    0.25   0.35   3.00   3.00 |   0.31   0.93 | 0.50
aggressive   4  0.80 |    0.25   0.36   3.00    nan |   0.32   0.76 | 0.00
aggressive   6  0.40 |    0.26   0.50   2.59   2.61 |   0.41   1.23 | 1.00
aggressive   6  0.60 |    0.25   0.58   2.97   2.99 |   0.36   1.22 | 1.00
aggressive   6  0.75 |    0.26   0.43   3.00   3.00 |   0.34   1.14 | 1.00
aggressive   6  0.80 |    0.26   0.45   2.74    nan |   0.37   0.62 | 0.00
aggressive   8  0.40 |    0.26   0.68   2.55   2.61 |   0.46   1.26 | 1.00
aggressive   8  0.60 |    0.25   0.63   2.96   2.99 |   0.48   1.33 | 1.00
aggressive   8  0.75 |    0.26   0.80   3.00   3.00 |   0.50   1.10 | 0.50
aggressive   8  0.80 |    0.28   0.62   3.00    nan |   0.52   1.00 | 0.00
aggressive  10  0.40 |    0.26   0.87   2.54   2.61 |   0.58   1.20 | 1.00
aggressive  10  0.60 |    0.27   0.83   2.92   2.99 |   0.61   1.23 | 1.00
aggressive  10  0.75 |    0.26   0.81   3.00    nan |   0.57   0.98 | 0.00
aggressive  10  0.80 |    0.25   0.86   3.00    nan |   0.59   0.97 | 0.00
aggressive  12  0.40 |    0.26   0.98   2.53   2.61 |   0.77   1.07 | 0.50
aggressive  12  0.60 |    0.25   0.80   2.93   3.00 |   0.69   1.27 | 1.00
aggressive  12  0.75 |    0.26   0.98   2.82    nan |   0.73   0.91 | 0.00
aggressive  12  0.80 |    0.26   1.22   2.74    nan |   0.87   0.82 | 0.00
   circle   4  0.40 |    0.28   0.22   2.62   2.62 |   0.30   0.85 | 1.00
   circle   4  0.60 |    0.28   0.25   3.00   3.00 |   0.30   1.25 | 1.00
   circle   4  0.75 |    0.29   0.24   3.00    nan |   0.32   1.25 | 0.00
   circle   4  0.80 |    0.29   0.24   3.00    nan |   0.31   1.01 | 0.00
   circle   6  0.40 |    0.29   0.29   2.62   2.62 |   0.36   1.20 | 1.00
   circle   6  0.60 |    0.28   0.27   3.00   3.00 |   0.35   1.26 | 1.00
   circle   6  0.75 |    0.28   0.29   3.00    nan |   0.41   1.20 | 0.00
   circle   6  0.80 |    0.28   0.32   3.00    nan |   0.42   1.13 | 0.00
   circle   8  0.40 |    0.29   0.45   2.64   2.62 |   0.52   1.12 | 1.00
   circle   8  0.60 |    0.28   0.51   3.00   3.00 |   0.46   1.21 | 1.00
   circle   8  0.75 |    0.28   0.57   3.00    nan |   0.51   1.09 | 0.00
   circle   8  0.80 |    0.28   0.51   3.00    nan |   0.51   0.99 | 0.00
   circle  10  0.40 |    0.27   0.81   2.66   2.62 |   0.56   1.25 | 0.50
   circle  10  0.60 |    0.28   0.65   3.00   3.00 |   0.59   1.30 | 0.50
   circle  10  0.75 |    0.28   0.69   3.00    nan |   0.66   1.18 | 0.00
   circle  10  0.80 |    0.28   0.81   3.00    nan |   0.66   1.07 | 0.00
   circle  12  0.40 |    0.27   0.94   2.68   2.62 |   0.74   1.28 | 0.50
   circle  12  0.60 |    0.29   0.98   3.00    nan |   0.84   0.91 | 0.00
   circle  12  0.75 |    0.27   0.82   3.00    nan |   0.69   1.14 | 0.00
   circle  12  0.80 |    0.28   1.36   3.00    nan |   0.94   1.10 | 0.00
  figure8   4  0.40 |    0.28   0.35   2.62   2.61 |   0.29   1.04 | 1.00
  figure8   4  0.60 |    0.28   0.34   3.00   2.99 |   0.32   0.94 | 1.00
  figure8   4  0.75 |    0.28   0.37   3.00   3.00 |   0.30   1.01 | 0.50
  figure8   4  0.80 |    0.29   0.37   3.00    nan |   0.28   0.81 | 0.00
  figure8   6  0.40 |    0.28   0.41   2.64   2.61 |   0.32   0.98 | 1.00
  figure8   6  0.60 |    0.28   0.47   3.00   2.99 |   0.45   0.96 | 1.00
  figure8   6  0.75 |    0.29   0.50   3.00   3.00 |   0.39   1.04 | 0.50
  figure8   6  0.80 |    0.28   0.49   2.94    nan |   0.33   0.77 | 0.00
  figure8   8  0.40 |    0.28   0.73   2.64   2.61 |   0.52   0.70 | 1.00
  figure8   8  0.60 |    0.28   0.70   3.00   2.99 |   0.50   1.13 | 1.00
  figure8   8  0.75 |    0.28   0.63   3.00    nan |   0.50   0.93 | 0.00
  figure8   8  0.80 |    0.27   0.59   2.77    nan |   0.47   0.52 | 0.00
  figure8  10  0.40 |    0.27   0.81   2.65   2.61 |   0.58   1.22 | 1.00
  figure8  10  0.60 |    0.28   0.85   3.00   3.00 |   0.69   0.94 | 0.00
  figure8  10  0.75 |    0.29   0.80   2.64    nan |   0.60   0.96 | 0.00
  figure8  10  0.80 |    0.29   0.86   2.55    nan |   0.62   0.77 | 0.00
  figure8  12  0.40 |    0.29   1.00   2.61    nan |   0.70   0.98 | 0.00
  figure8  12  0.60 |    0.28   0.99   2.80    nan |   0.71   1.05 | 0.00
  figure8  12  0.75 |    0.28   1.05   2.83    nan |   0.75   1.18 | 0.00
  figure8  12  0.80 |    0.28   1.06   2.79    nan |   0.75   0.80 | 0.00
 waypoint   4  0.40 |    0.30   0.33   2.63   2.62 |   0.35   1.17 | 1.00
 waypoint   4  0.60 |    0.31   0.40   3.00   3.00 |   0.35   1.20 | 1.00
 waypoint   4  0.75 |    0.31   0.37   3.00    nan |   0.31   0.87 | 0.00
 waypoint   4  0.80 |    0.31   0.36   3.00    nan |   0.30   1.05 | 0.00
 waypoint   6  0.40 |    0.31   0.49   2.63   2.61 |   0.39   1.20 | 1.00
 waypoint   6  0.60 |    0.31   0.48   3.00   3.00 |   0.38   1.21 | 1.00
 waypoint   6  0.75 |    0.30   0.51   3.00    nan |   0.38   0.88 | 0.00
 waypoint   6  0.80 |    0.31   0.42   3.00    nan |   0.38   1.11 | 0.00
 waypoint   8  0.40 |    0.30   0.49   2.64   2.62 |   0.42   1.18 | 1.00
 waypoint   8  0.60 |    0.30   0.69   3.00   3.00 |   0.46   1.27 | 1.00
