t_wall,t_seq,state,stage,nav_state,armed,x,y,z,vx,vy,vz,heading
1786527884.076,0.000,WAIT,idle,-1,0,0.673,11.305,-4.444,-0.014,-0.011,0.024,0.8941
1786527884.175,0.000,WAIT,idle,-1,0,0.675,11.304,-4.441,0.007,-0.004,0.022,0.8951
1786527884.275,0.000,WAIT,idle,-1,0,0.675,11.303,-4.438,0.018,0.047,0.035,0.8962
1786527884.375,0.000,WAIT,idle,-1,0,0.673,11.305,-4.434,-0.010,0.057,0.021,0.8979
1786527884.475,0.000,WAIT,idle,-1,0,0.666,11.308,-4.432,-0.028,0.073,0.010,0.9020
1786527884.575,0.000,WAIT,idle,-1,0,0.663,11.315,-4.431,-0.029,0.074,-0.002,0.9045
1786527884.675,0.000,WAIT,idle,-1,0,0.658,11.321,-4.430,-0.011,0.100,0.007,0.9032
1786527884.775,0.000,WAIT,idle,-1,0,0.651,11.327,-4.429,-0.084,0.084,-0.014,0.9017
1786527884.875,0.000,WAIT,idle,-1,0,0.643,11.333,-4.429,-0.069,0.081,-0.001,0.8988
1786527884.975,0.000,WAIT,idle,-1,0,0.639,11.338,-4.428,-0.003,0.091,-0.004,0.8942
1786527885.075,0.000,WAIT,idle,-1,0,0.636,11.345,-4.427,-0.034,0.076,0.011,0.8897
1786527885.175,0.000,WAIT,idle,2,1,0.633,11.351,-4.425,0.010,0.083,0.020,0.8917
1786527885.275,0.000,WAIT,idle,2,1,0.632,11.356,-4.423,-0.030,0.080,0.004,0.8943
1786527885.376,0.000,WAIT,idle,2,1,0.633,11.365,-4.421,-0.022,0.083,0.014,0.8953
1786527885.476,0.000,WAIT,idle,2,1,0.634,11.372,-4.419,-0.025,0.059,0.008,0.8938
1786527885.575,0.000,WAIT,idle,2,1,0.633,11.380,-4.418,-0.005,0.114,0.023,0.8907
1786527885.675,0.000,WAIT,idle,2,1,0.633,11.391,-4.417,-0.041,0.109,0.007,0.8895
1786527885.776,0.000,WAIT,idle,2,1,0.634,11.401,-4.415,-0.027,0.093,0.017,0.8888
1786527885.875,0.000,WAIT,idle,2,1,0.633,11.409,-4.414,-0.004,0.082,0.020,0.8884
1786527885.975,0.000,WAIT,idle,2,1,0.632,11.420,-4.411,-0.003,0.110,0.035,0.8877
1786527886.075,0.000,WAIT,idle,2,1,0.632,11.429,-4.408,-0.005,0.096,0.045,0.8873
1786527886.175,0.000,WAIT,idle,2,1,0.637,11.439,-4.404,0.010,0.110,0.045,0.8883
1786527886.275,0.000,WAIT,idle,2,1,0.641,11.447,-4.401,0.012,0.087,0.037,0.8900
1786527886.375,0.000,WAIT,idle,2,1,0.644,11.454,-4.398,0.015,0.077,0.037,0.8895
1786527886.475,0.000,WAIT,idle,2,1,0.647,11.461,-4.394,-0.013,0.085,0.041,0.8898
1786527886.575,0.000,WAIT,idle,2,1,0.653,11.466,-4.391,0.000,0.053,0.027,0.8899
1786527886.677,0.001,ENGAGED,idle,14,1,0.658,11.471,-4.388,0.007,0.065,0.029,0.8904
1786527886.776,0.101,ENGAGED,SETTLE 0/4s,14,1,0.663,11.474,-4.386,-0.025,0.030,0.021,0.8921
1786527886.876,0.200,ENGAGED,SETTLE 0/4s,14,1,0.667,11.477,-4.385,-0.022,0.002,0.007,0.8911
1786527886.975,0.300,ENGAGED,SETTLE 0/4s,14,1,0.670,11.477,-4.384,0.013,-0.006,0.018,0.8892
1786527887.076,0.400,ENGAGED,SETTLE 0/4s,14,1,0.676,11.477,-4.384,-0.012,-0.009,0.003,0.8890
1786527887.176,0.500,ENGAGED,SETTLE 0/4s,14,1,0.683,11.476,-4.384,0.024,-0.030,0.010,0.8888
1786527887.276,0.601,ENGAGED,SETTLE 1/4s,14,1,0.686,11.471,-4.384,0.003,-0.054,0.014,0.8901
1786527887.376,0.700,ENGAGED,SETTLE 1/4s,14,1,0.691,11.467,-4.384,-0.041,-0.066,0.008,0.8899
1786527887.476,0.800,ENGAGED,SETTLE 1/4s,14,1,0.696,11.462,-4.384,0.036,-0.063,0.016,0.8902
1786527887.576,0.900,ENGAGED,SETTLE 1/4s,14,1,0.700,11.454,-4.385,-0.019,-0.063,0.009,0.8922
1786527887.676,1.000,ENGAGED,SETTLE 1/4s,14,1,0.708,11.446,-4.386,-0.001,-0.089,0.004,0.8933
1786527887.776,1.100,ENGAGED,SETTLE 1/4s,14,1,0.714,11.438,-4.388,0.017,-0.049,0.005,0.8940
1786527887.876,1.200,ENGAGED,SETTLE 1/4s,14,1,0.720,11.429,-4.390,-0.022,-0.076,0.010,0.8937
1786527887.976,1.300,ENGAGED,SETTLE 1/4s,14,1,0.725,11.424,-4.391,-0.043,-0.064,0.002,0.8937
1786527888.076,1.400,ENGAGED,SETTLE 1/4s,14,1,0.728,11.420,-4.392,-0.012,-0.049,0.017,0.8944
1786527888.176,1.500,ENGAGED,SETTLE 1/4s,14,1,0.734,11.415,-4.392,-0.037,-0.053,0.005,0.8950
