t_wall,t_seq,state,stage,nav_state,armed,x,y,z,vx,vy,vz,heading
1786528976.583,0.000,WAIT,idle,-1,0,0.642,-25.882,-4.568,0.001,0.045,-0.008,0.9379
1786528976.682,0.000,WAIT,idle,-1,0,0.647,-25.880,-4.569,-0.042,0.042,-0.010,0.9393
1786528976.782,0.000,WAIT,idle,-1,0,0.646,-25.880,-4.570,-0.090,0.026,-0.030,0.9415
1786528976.882,0.000,WAIT,idle,-1,0,0.647,-25.881,-4.572,-0.076,0.011,-0.024,0.9325
1786528976.982,0.000,WAIT,idle,-1,0,0.648,-25.887,-4.574,-0.088,-0.026,-0.026,0.9253
1786528977.082,0.000,WAIT,idle,-1,0,0.650,-25.894,-4.577,-0.068,-0.026,-0.033,0.9293
1786528977.182,0.000,WAIT,idle,2,1,0.651,-25.898,-4.578,-0.093,-0.037,0.004,0.9319
1786528977.282,0.000,WAIT,idle,2,1,0.649,-25.904,-4.577,-0.103,-0.035,-0.013,0.9345
1786528977.382,0.000,WAIT,idle,2,1,0.646,-25.910,-4.578,-0.159,-0.026,-0.009,0.9312
1786528977.482,0.000,WAIT,idle,2,1,0.640,-25.916,-4.576,-0.127,-0.032,0.033,0.9254
1786528977.582,0.000,WAIT,idle,2,1,0.634,-25.923,-4.571,-0.138,-0.026,0.034,0.9274
1786528977.682,0.000,WAIT,idle,2,1,0.633,-25.931,-4.566,-0.155,-0.025,0.036,0.9294
1786528977.782,0.000,WAIT,idle,2,1,0.629,-25.937,-4.561,-0.133,0.007,0.042,0.9277
1786528977.882,0.000,WAIT,idle,2,1,0.624,-25.944,-4.556,-0.149,-0.013,0.044,0.9296
1786528977.982,0.000,WAIT,idle,2,1,0.618,-25.952,-4.552,-0.158,0.009,0.033,0.9285
1786528978.082,0.000,WAIT,idle,2,1,0.614,-25.957,-4.549,-0.167,-0.010,0.037,0.9257
1786528978.182,0.000,WAIT,idle,2,1,0.612,-25.963,-4.545,-0.136,-0.001,0.022,0.9285
1786528978.282,0.000,WAIT,idle,2,1,0.608,-25.966,-4.542,-0.178,0.018,0.017,0.9304
1786528978.382,0.000,WAIT,idle,2,1,0.601,-25.968,-4.540,-0.153,0.014,0.017,0.9283
1786528978.482,0.000,WAIT,idle,2,1,0.596,-25.969,-4.539,-0.176,0.046,0.016,0.9265
1786528978.582,0.000,WAIT,idle,2,1,0.589,-25.969,-4.537,-0.165,0.051,0.020,0.9247
1786528978.682,0.000,WAIT,idle,2,1,0.585,-25.967,-4.536,-0.187,0.072,0.025,0.9231
1786528978.782,0.000,WAIT,idle,2,1,0.579,-25.962,-4.534,-0.150,0.089,0.017,0.9225
1786528978.882,0.000,WAIT,idle,2,1,0.575,-25.958,-4.533,-0.105,0.089,0.020,0.9212
1786528978.982,0.000,WAIT,idle,2,1,0.574,-25.953,-4.533,-0.071,0.108,0.007,0.9193
1786528979.082,0.000,WAIT,idle,2,1,0.574,-25.947,-4.533,-0.059,0.086,0.005,0.9202
1786528979.182,0.000,WAIT,idle,2,1,0.573,-25.938,-4.534,-0.071,0.098,-0.011,0.9212
1786528979.282,0.000,WAIT,idle,2,1,0.572,-25.929,-4.535,-0.069,0.112,-0.015,0.9233
1786528979.382,0.000,WAIT,idle,2,1,0.570,-25.919,-4.538,-0.094,0.105,-0.021,0.9228
1786528979.482,0.000,WAIT,idle,2,1,0.567,-25.910,-4.540,-0.081,0.112,-0.035,0.9202
1786528979.582,0.000,WAIT,idle,2,1,0.561,-25.897,-4.544,-0.084,0.116,-0.032,0.9202
1786528979.682,0.000,WAIT,idle,2,1,0.557,-25.888,-4.547,-0.062,0.091,-0.032,0.9200
1786528979.782,0.000,WAIT,idle,2,1,0.554,-25.878,-4.551,-0.097,0.075,-0.039,0.9192
1786528979.882,0.000,WAIT,idle,2,1,0.549,-25.869,-4.555,-0.068,0.075,-0.024,0.9188
1786528979.982,0.000,WAIT,idle,2,1,0.543,-25.860,-4.558,-0.092,0.057,-0.018,0.9201
1786528980.082,0.000,WAIT,idle,2,1,0.535,-25.852,-4.560,-0.074,0.063,-0.011,0.9231
1786528980.182,0.000,WAIT,idle,2,1,0.531,-25.847,-4.561,-0.040,0.009,-0.017,0.9246
1786528980.282,0.000,WAIT,idle,2,1,0.524,-25.845,-4.563,-0.057,0.050,-0.001,0.9251
1786528980.382,0.000,WAIT,idle,2,1,0.517,-25.840,-4.564,-0.101,0.027,-0.012,0.9195
1786528980.483,0.001,ENGAGED,idle,14,1,0.509,-25.838,-4.565,-0.042,0.016,-0.015,0.9159
1786528980.583,0.101,ENGAGED,HOVER 0/50s,14,1,0.501,-25.836,-4.567,-0.048,0.011,-0.003,0.9155
1786528980.682,0.200,ENGAGED,HOVER 0/50s,14,1,0.493,-25.833,-4.567,-0.050,0.001,0.008,0.9119
1786528980.782,0.300,ENGAGED,HOVER 0/50s,14,1,0.485,-25.831,-4.566,-0.078,0.010,0.003,0.9117
1786528980.882,0.400,ENGAGED,HOVER 0/50s,14,1,0.475,-25.826,-4.565,-0.071,0.016,0.000,0.9108
1786528980.982,0.500,ENGAGED,HOVER 0/50s,14,1,0.470,-25.822,-4.564,-0.070,0.015,0.003,0.9118
1786528981.082,0.600,ENGAGED,HOVER 0/50s,14,1,0.463,-25.817,-4.563,-0.071,0.002,-0.003,0.9137
1786528981.182,0.700,ENGAGED,HOVER 0/50s,14,1,0.454,-25.811,-4.562,-0.052,0.008,-0.009,0.9156
1786528981.282,0.800,ENGAGED,HOVER 0/50s,14,1,0.448,-25.807,-4.561,-0.051,0.028,0.004,0.9161
1786528981.382,0.900,ENGAGED,HOVER 0/50s,14,1,0.438,-25.804,-4.560,-0.080,0.002,-0.001,0.9155
1786528981.482,1.000,ENGAGED,HOVER 0/50s,14,1,0.431,-25.799,-4.559,-0.041,0.029,0.008,0.9182
1786528981.583,1.101,ENGAGED,HOVER 1/50s,14,1,0.422,-25.791,-4.557,-0.068,0.059,0.009,0.9170
1786528981.682,1.200,ENGAGED,HOVER 1/50s,14,1,0.415,-25.783,-4.556,-0.062,0.058,0.003,0.9135
1786528981.782,1.300,ENGAGED,HOVER 1/50s,14,1,0.410,-25.774,-4.554,-0.027,0.022,0.005,0.9096
1786528981.882,1.400,ENGAGED,HOVER 1/50s,14,1,0.405,-25.768,-4.554,-0.041,0.018,-0.007,0.9084
1786528981.982,1.500,ENGAGED,HOVER 1/50s,14,1,0.403,-25.761,-4.554,-0.014,0.019,-0.012,0.9074
1786528982.082,1.600,ENGAGED,HOVER 1/50s,14,1,0.399,-25.755,-4.555,0.019,0.015,-0.018,0.9087
1786528982.182,1.700,ENGAGED,HOVER 1/50s,14,1,0.399,-25.749,-4.556,0.035,0.016,-0.023,0.9078
1786528982.282,1.800,ENGAGED,HOVER 1/50s,14,1,0.399,-25.745,-4.558,0.024,-0.012,-0.024,0.9090
1786528982.382,1.900,ENGAGED,HOVER 1/50s,14,1,0.401,-25.742,-4.560,0.018,0.007,-0.042,0.9103
1786528982.482,2.000,ENGAGED,HOVER 1/50s,14,1,0.402,-25.737,-4.563,0.055,0.002,-0.033,0.9116
1786528982.583,2.101,ENGAGED,HOVER 2/50s,14,1,0.403,-25.733,-4.566,0.057,-0.018,-0.035,0.9107
