t_wall,t_seq,state,stage,nav_state,armed,x,y,z,vx,vy,vz,heading
1786527377.503,0.000,WAIT,idle,-1,0,12.406,5.805,-3.291,0.247,-0.050,-1.446,1.2494
1786527377.602,0.000,WAIT,idle,-1,0,12.429,5.800,-3.449,0.263,-0.034,-1.241,1.2537
1786527377.702,0.000,WAIT,idle,-1,0,12.445,5.796,-3.562,0.234,-0.010,-0.939,1.2593
1786527377.802,0.000,WAIT,idle,-1,0,12.459,5.795,-3.650,0.220,0.013,-0.636,1.2672
1786527377.902,0.000,WAIT,idle,-1,0,12.468,5.797,-3.711,0.146,0.037,-0.568,1.2654
1786527378.002,0.000,WAIT,idle,-1,0,12.472,5.798,-3.775,0.105,0.019,-0.640,1.2609
1786527378.102,0.000,WAIT,idle,2,1,12.470,5.802,-3.843,0.086,0.066,-0.747,1.2589
1786527378.202,0.000,WAIT,idle,2,1,12.463,5.805,-3.930,0.068,0.055,-0.791,1.2581
1786527378.302,0.000,WAIT,idle,2,1,12.453,5.811,-4.006,0.013,0.078,-0.833,1.2561
1786527378.402,0.000,WAIT,idle,2,1,12.443,5.820,-4.099,0.018,0.077,-0.829,1.2544
1786527378.502,0.000,WAIT,idle,2,1,12.434,5.829,-4.182,0.039,0.091,-0.811,1.2576
1786527378.602,0.000,WAIT,idle,2,1,12.428,5.838,-4.264,0.048,0.078,-0.811,1.2580
1786527378.702,0.000,WAIT,idle,2,1,12.420,5.847,-4.344,0.016,0.075,-0.709,1.2518
1786527378.802,0.000,WAIT,idle,2,1,12.410,5.856,-4.399,0.016,0.084,-0.520,1.2492
1786527378.902,0.000,WAIT,idle,2,1,12.400,5.867,-4.440,0.021,0.095,-0.211,1.2504
1786527379.002,0.000,WAIT,idle,2,1,12.389,5.877,-4.452,0.022,0.122,-0.019,1.2507
1786527379.102,0.000,WAIT,idle,2,1,12.377,5.884,-4.453,0.022,0.092,0.029,1.2524
1786527379.202,0.000,WAIT,idle,2,1,12.368,5.889,-4.453,0.030,0.074,-0.016,1.2530
1786527379.302,0.000,WAIT,idle,2,1,12.361,5.895,-4.462,0.047,0.060,-0.103,1.2499
1786527379.402,0.000,WAIT,idle,2,1,12.356,5.899,-4.473,0.043,0.016,-0.096,1.2522
1786527379.502,0.000,WAIT,idle,2,1,12.349,5.900,-4.486,0.009,-0.025,-0.112,1.2516
1786527379.602,0.000,WAIT,idle,2,1,12.344,5.900,-4.496,0.037,-0.018,-0.112,1.2463
1786527379.702,0.000,WAIT,idle,2,1,12.336,5.898,-4.507,0.040,-0.031,-0.103,1.2413
1786527379.802,0.000,WAIT,idle,2,1,12.330,5.892,-4.517,0.027,-0.085,-0.106,1.2372
1786527379.902,0.000,WAIT,idle,2,1,12.320,5.884,-4.528,0.047,-0.077,-0.093,1.2326
1786527380.002,0.000,WAIT,idle,2,1,12.311,5.875,-4.536,0.023,-0.085,-0.092,1.2291
1786527380.102,0.000,WAIT,idle,2,1,12.301,5.868,-4.544,0.012,-0.067,-0.102,1.2264
1786527380.202,0.000,WAIT,idle,2,1,12.294,5.862,-4.550,0.047,-0.071,-0.096,1.2230
1786527380.302,0.000,WAIT,idle,2,1,12.292,5.855,-4.557,0.080,-0.072,-0.095,1.2195
1786527380.402,0.000,WAIT,idle,2,1,12.295,5.850,-4.563,0.099,-0.042,-0.077,1.2212
1786527380.502,0.000,WAIT,idle,2,1,12.296,5.846,-4.568,0.126,-0.028,-0.076,1.2187
1786527380.602,0.000,WAIT,idle,2,1,12.300,5.844,-4.571,0.125,0.007,-0.054,1.2142
1786527380.702,0.000,WAIT,idle,2,1,12.306,5.846,-4.573,0.129,0.023,-0.071,1.2179
1786527380.802,0.000,WAIT,idle,2,1,12.313,5.849,-4.577,0.137,0.040,-0.091,1.2237
1786527380.902,0.000,WAIT,idle,2,1,12.321,5.856,-4.582,0.136,0.086,-0.085,1.2288
1786527381.002,0.000,WAIT,idle,2,1,12.327,5.864,-4.587,0.122,0.067,-0.090,1.2297
1786527381.102,0.000,WAIT,idle,2,1,12.334,5.871,-4.590,0.112,0.075,-0.082,1.2305
1786527381.202,0.000,WAIT,idle,2,1,12.344,5.882,-4.595,0.126,0.118,-0.073,1.2344
1786527381.302,0.000,WAIT,idle,2,1,12.353,5.894,-4.598,0.109,0.121,-0.076,1.2351
1786527381.402,0.000,WAIT,idle,2,1,12.363,5.908,-4.600,0.095,0.096,-0.079,1.2351
1786527381.502,0.000,WAIT,idle,2,1,12.371,5.918,-4.602,0.111,0.092,-0.066,1.2368
1786527381.602,0.000,WAIT,idle,2,1,12.382,5.929,-4.605,0.126,0.122,-0.070,1.2389
1786527381.702,0.000,WAIT,idle,2,1,12.395,5.938,-4.606,0.145,0.095,-0.054,1.2370
