t_wall,t_seq,state,stage,nav_state,armed,x,y,z,vx,vy,vz,heading
1786529083.295,0.000,WAIT,idle,2,0,-0.747,-26.234,0.701,-0.003,-0.013,-0.002,1.4102
1786529083.394,0.000,WAIT,idle,2,0,-0.751,-26.233,0.702,-0.002,-0.013,-0.001,1.4102
1786529083.494,0.000,WAIT,idle,2,0,-0.755,-26.232,0.702,-0.003,-0.013,-0.002,1.4103
1786529083.594,0.000,WAIT,idle,2,0,-0.760,-26.231,0.702,-0.003,-0.013,-0.002,1.4103
1786529083.694,0.000,WAIT,idle,2,0,-0.765,-26.230,0.702,-0.004,-0.012,-0.002,1.4102
1786529083.794,0.000,WAIT,idle,2,0,-0.770,-26.229,0.702,-0.003,-0.012,-0.002,1.4102
1786529083.894,0.000,WAIT,idle,2,0,-0.775,-26.227,0.702,-0.003,-0.012,-0.002,1.4102
1786529083.994,0.000,WAIT,idle,2,0,-0.781,-26.226,0.703,-0.002,-0.012,-0.003,1.4101
1786529084.094,0.000,WAIT,idle,1,0,-0.785,-26.225,0.703,-0.002,-0.012,-0.003,1.4101
1786529084.194,0.000,WAIT,idle,1,0,-0.790,-26.223,0.703,-0.002,-0.011,-0.003,1.4102
1786529084.294,0.000,WAIT,idle,1,0,-0.794,-26.222,0.703,-0.003,-0.010,-0.004,1.4102
1786529084.394,0.000,WAIT,idle,1,0,-0.797,-26.221,0.703,-0.002,-0.010,-0.005,1.4102
1786529084.494,0.000,WAIT,idle,1,0,-0.802,-26.220,0.703,-0.003,-0.010,-0.004,1.4102
1786529084.594,0.000,WAIT,idle,1,0,-0.807,-26.218,0.703,-0.003,-0.009,-0.004,1.4102
1786529084.694,0.000,WAIT,idle,1,0,-0.812,-26.217,0.703,-0.004,-0.009,-0.004,1.4102
1786529084.794,0.000,WAIT,idle,1,0,-0.817,-26.216,0.703,-0.003,-0.009,-0.005,1.4102
1786529084.894,0.000,WAIT,idle,1,0,-0.822,-26.215,0.703,-0.004,-0.009,-0.004,1.4102
1786529084.994,0.000,WAIT,idle,1,0,-0.827,-26.213,0.703,-0.003,-0.009,-0.004,1.4103
1786529085.094,0.000,WAIT,idle,1,0,-0.833,-26.212,0.704,-0.002,-0.008,-0.004,1.4103
1786529085.194,0.000,WAIT,idle,1,0,-0.837,-26.211,0.704,-0.002,-0.008,-0.003,1.4102
1786529085.294,0.000,WAIT,idle,1,0,-0.840,-26.210,0.704,-0.002,-0.008,-0.004,1.4103
1786529085.394,0.000,WAIT,idle,1,0,-0.845,-26.208,0.704,-0.001,-0.009,-0.003,1.4104
1786529085.494,0.000,WAIT,idle,1,0,-0.849,-26.208,0.704,-0.001,-0.009,-0.003,1.4104
1786529085.594,0.000,WAIT,idle,1,0,-0.854,-26.206,0.705,-0.001,-0.009,-0.002,1.4104
1786529085.694,0.000,WAIT,idle,1,0,-0.859,-26.205,0.705,-0.002,-0.008,-0.002,1.4104
