t_wall,t_seq,state,stage,nav_state,armed,x,y,z,vx,vy,vz,heading
1786528378.927,0.000,WAIT,idle,2,1,8.608,6.268,-4.226,-0.078,0.020,0.038,1.1395
1786528379.026,0.000,WAIT,idle,2,1,8.605,6.267,-4.229,-0.076,0.010,0.036,1.1392
1786528379.126,0.000,WAIT,idle,2,1,8.602,6.270,-4.232,-0.042,0.047,0.039,1.1382
1786528379.226,0.000,WAIT,idle,2,1,8.598,6.272,-4.235,-0.060,0.077,0.047,1.1360
1786528379.326,0.000,WAIT,idle,2,1,8.594,6.277,-4.238,-0.059,0.057,0.052,1.1338
1786528379.426,0.000,WAIT,idle,2,1,8.590,6.281,-4.239,-0.060,0.091,0.053,1.1350
1786528379.526,0.000,WAIT,idle,2,1,8.584,6.286,-4.240,-0.030,0.115,0.050,1.1384
1786528379.626,0.000,WAIT,idle,2,1,8.576,6.290,-4.242,-0.083,0.074,0.053,1.1395
1786528379.726,0.000,WAIT,idle,2,1,8.566,6.290,-4.242,-0.089,0.095,0.059,1.1357
1786528379.826,0.000,WAIT,idle,2,1,8.554,6.291,-4.244,-0.065,0.088,0.053,1.1326
1786528379.926,0.000,WAIT,idle,2,1,8.543,6.292,-4.246,-0.102,0.099,0.061,1.1305
1786528380.026,0.000,WAIT,idle,2,1,8.533,6.294,-4.248,-0.093,0.084,0.053,1.1280
1786528380.126,0.000,WAIT,idle,2,1,8.525,6.298,-4.250,-0.089,0.050,0.047,1.1241
1786528380.226,0.000,WAIT,idle,2,1,8.516,6.300,-4.253,-0.098,0.051,0.030,1.1217
1786528380.326,0.000,WAIT,idle,2,1,8.506,6.301,-4.256,-0.095,0.054,0.029,1.1202
1786528380.426,0.000,WAIT,idle,2,1,8.497,6.300,-4.259,-0.080,0.014,0.019,1.1202
1786528380.526,0.000,WAIT,idle,2,1,8.490,6.299,-4.262,-0.088,0.035,0.025,1.1203
1786528380.626,0.000,WAIT,idle,2,1,8.485,6.295,-4.266,-0.094,0.018,0.009,1.1217
1786528380.726,0.000,WAIT,idle,2,1,8.485,6.295,-4.270,-0.083,0.007,0.007,1.1223
1786528380.826,0.000,WAIT,idle,2,1,8.485,6.294,-4.274,-0.055,0.001,0.014,1.1222
1786528380.926,0.000,WAIT,idle,2,1,8.484,6.294,-4.277,-0.048,0.005,0.026,1.1210
1786528381.026,0.000,WAIT,idle,2,1,8.484,6.291,-4.280,-0.069,0.005,0.014,1.1211
1786528381.126,0.000,WAIT,idle,2,1,8.486,6.291,-4.284,-0.002,0.057,0.018,1.1218
1786528381.226,0.000,WAIT,idle,2,1,8.488,6.288,-4.288,-0.034,0.010,0.021,1.1207
1786528381.326,0.000,WAIT,idle,2,1,8.491,6.287,-4.291,-0.070,-0.030,0.007,1.1201
1786528381.426,0.000,WAIT,idle,2,1,8.492,6.286,-4.295,-0.018,-0.003,0.002,1.1189
1786528381.526,0.000,WAIT,idle,2,1,8.495,6.282,-4.301,-0.056,-0.020,-0.011,1.1193
1786528381.626,0.000,WAIT,idle,2,1,8.499,6.278,-4.307,-0.046,-0.040,-0.013,1.1201
1786528381.726,0.000,WAIT,idle,2,1,8.503,6.274,-4.312,-0.065,-0.036,-0.007,1.1210
1786528381.826,0.000,WAIT,idle,2,1,8.506,6.271,-4.318,-0.003,-0.013,-0.005,1.1233
1786528381.926,0.000,WAIT,idle,2,1,8.510,6.269,-4.322,0.000,0.004,0.022,1.1241
1786528382.026,0.000,WAIT,idle,2,1,8.512,6.264,-4.325,-0.024,-0.020,0.025,1.1255
1786528382.126,0.000,WAIT,idle,2,1,8.514,6.258,-4.328,-0.037,-0.016,0.025,1.1263
1786528382.226,0.000,WAIT,idle,2,1,8.515,6.253,-4.331,-0.044,-0.012,0.024,1.1256
1786528382.326,0.000,WAIT,idle,2,1,8.516,6.248,-4.333,-0.051,-0.042,0.026,1.1261
1786528382.427,0.001,ENGAGED,idle,14,1,8.517,6.246,-4.333,-0.007,0.018,0.041,1.1269
1786528382.527,0.101,ENGAGED,SETTLE 0/4s,14,1,8.516,6.245,-4.333,-0.037,0.009,0.046,1.1276
1786528382.626,0.200,ENGAGED,SETTLE 0/4s,14,1,8.516,6.243,-4.334,-0.061,-0.057,0.017,1.1272
1786528382.727,0.300,ENGAGED,SETTLE 0/4s,14,1,8.518,6.242,-4.337,-0.029,0.001,0.021,1.1267
1786528382.826,0.400,ENGAGED,SETTLE 0/4s,14,1,8.518,6.240,-4.340,-0.042,-0.047,0.017,1.1292
1786528382.927,0.500,ENGAGED,SETTLE 0/4s,14,1,8.518,6.237,-4.343,-0.037,-0.011,0.024,1.1317
1786528383.027,0.601,ENGAGED,SETTLE 1/4s,14,1,8.517,6.234,-4.348,0.001,-0.028,0.014,1.1343
