t_wall,t_seq,state,stage,nav_state,armed,x,y,z,vx,vy,vz,heading
1786528780.772,0.000,WAIT,idle,-1,0,-1.703,-24.433,-0.369,0.001,0.002,0.000,0.8433
1786528780.871,0.000,WAIT,idle,2,0,-1.703,-24.433,-0.369,0.001,0.002,0.001,0.8433
1786528780.971,0.000,WAIT,idle,2,0,-1.703,-24.433,-0.369,0.001,0.001,0.001,0.8432
1786528781.071,0.000,WAIT,idle,2,0,-1.703,-24.433,-0.369,0.001,0.001,0.001,0.8432
1786528781.171,0.000,WAIT,idle,2,0,-1.703,-24.433,-0.369,0.001,0.001,0.001,0.8431
1786528781.271,0.000,WAIT,idle,2,0,-1.703,-24.433,-0.368,0.002,0.001,0.002,0.8431
1786528781.371,0.000,WAIT,idle,2,0,-1.703,-24.433,-0.368,0.003,0.001,0.002,0.8430
1786528781.471,0.000,WAIT,idle,2,0,-1.703,-24.433,-0.368,0.002,0.001,0.002,0.8429
1786528781.571,0.000,WAIT,idle,2,0,-1.703,-24.433,-0.368,0.002,0.001,0.002,0.8427
1786528781.671,0.000,WAIT,idle,2,0,-1.703,-24.433,-0.368,0.001,0.001,0.002,0.8426
1786528781.771,0.000,WAIT,idle,2,0,-1.703,-24.433,-0.368,0.001,0.001,0.003,0.8425
1786528781.871,0.000,WAIT,idle,2,0,-1.703,-24.433,-0.367,0.002,0.001,0.003,0.8424
1786528781.971,0.000,WAIT,idle,2,0,-1.703,-24.433,-0.367,0.002,0.001,0.003,0.8424
1786528782.071,0.000,WAIT,idle,2,0,-1.703,-24.433,-0.367,0.001,0.001,0.003,0.8424
1786528782.171,0.000,WAIT,idle,2,0,-1.703,-24.433,-0.367,0.001,0.001,0.003,0.8423
1786528782.271,0.000,WAIT,idle,2,0,-1.703,-24.434,-0.366,0.000,0.000,0.004,0.8422
1786528782.371,0.000,WAIT,idle,2,0,-1.704,-24.434,-0.366,-0.000,-0.000,0.004,0.8422
1786528782.471,0.000,WAIT,idle,2,0,-1.704,-24.434,-0.366,-0.001,-0.000,0.003,0.8422
1786528782.571,0.000,WAIT,idle,2,0,-1.704,-24.434,-0.366,-0.000,-0.000,0.003,0.8422
1786528782.671,0.000,WAIT,idle,2,0,-1.704,-24.434,-0.366,-0.001,0.000,0.004,0.8421
1786528782.771,0.000,WAIT,idle,2,0,-1.704,-24.434,-0.366,-0.001,-0.000,0.003,0.8419
1786528782.871,0.000,WAIT,idle,2,0,-1.704,-24.434,-0.366,-0.001,-0.000,0.003,0.8419
1786528782.971,0.000,WAIT,idle,2,0,-1.704,-24.434,-0.366,-0.001,-0.001,0.004,0.8418
1786528783.071,0.000,WAIT,idle,2,0,-1.704,-24.434,-0.366,-0.001,0.000,0.003,0.8418
1786528783.171,0.000,WAIT,idle,2,0,-1.704,-24.434,-0.365,0.000,0.000,0.003,0.8419
1786528783.271,0.000,WAIT,idle,2,0,-1.704,-24.434,-0.366,0.001,0.000,0.002,0.8418
1786528783.371,0.000,WAIT,idle,1,0,-1.704,-24.434,-0.366,0.001,0.000,0.002,0.8417
1786528783.471,0.000,WAIT,idle,1,0,-1.704,-24.434,-0.366,0.001,0.000,0.002,0.8416
1786528783.571,0.000,WAIT,idle,1,0,-1.704,-24.434,-0.366,0.001,-0.000,0.002,0.8417
1786528783.671,0.000,WAIT,idle,1,0,-1.704,-24.434,-0.366,0.001,0.001,0.001,0.8416
1786528783.771,0.000,WAIT,idle,1,0,-1.704,-24.434,-0.366,-0.000,0.001,0.002,0.8417
1786528783.871,0.000,WAIT,idle,1,0,-1.704,-24.434,-0.366,-0.000,0.000,0.000,0.8416
1786528783.971,0.000,WAIT,idle,1,0,-1.704,-24.434,-0.366,0.000,-0.001,0.001,0.8417
1786528784.071,0.000,WAIT,idle,1,0,-1.704,-24.434,-0.367,0.000,-0.001,-0.000,0.8417
1786528784.171,0.000,WAIT,idle,1,0,-1.704,-24.434,-0.367,-0.000,-0.002,-0.001,0.8417
1786528784.271,0.000,WAIT,idle,1,0,-1.704,-24.434,-0.367,-0.001,-0.000,-0.001,0.8417
1786528784.371,0.000,WAIT,idle,1,0,-1.704,-24.434,-0.367,-0.000,-0.001,-0.001,0.8418
