t_wall,t_seq,state,stage,nav_state,armed,x,y,z,vx,vy,vz,heading
1786527780.039,0.000,WAIT,idle,-1,0,-0.357,10.832,-3.481,0.038,0.065,0.017,1.2565
1786527780.138,0.000,WAIT,idle,2,1,-0.363,10.830,-3.480,0.041,0.095,0.014,1.2584
1786527780.238,0.000,WAIT,idle,2,1,-0.362,10.831,-3.480,0.076,0.087,0.008,1.2622
1786527780.338,0.000,WAIT,idle,2,1,-0.358,10.831,-3.480,0.082,0.115,0.026,1.2634
1786527780.438,0.000,WAIT,idle,2,1,-0.355,10.831,-3.480,0.053,0.140,0.034,1.2640
1786527780.539,0.000,WAIT,idle,2,1,-0.352,10.831,-3.479,0.083,0.134,0.027,1.2635
1786527780.639,0.000,WAIT,idle,2,1,-0.346,10.834,-3.477,0.092,0.102,0.038,1.2623
1786527780.738,0.000,WAIT,idle,2,1,-0.340,10.837,-3.475,0.097,0.134,0.027,1.2610
1786527780.838,0.000,WAIT,idle,2,1,-0.335,10.843,-3.475,0.118,0.173,0.029,1.2597
1786527780.938,0.000,WAIT,idle,2,1,-0.331,10.846,-3.474,0.114,0.144,0.023,1.2606
1786527781.038,0.000,WAIT,idle,2,1,-0.322,10.848,-3.475,0.133,0.122,0.016,1.2635
1786527781.138,0.000,WAIT,idle,2,1,-0.313,10.847,-3.476,0.156,0.142,0.017,1.2689
1786527781.238,0.000,WAIT,idle,2,1,-0.304,10.847,-3.477,0.117,0.085,0.013,1.2783
1786527781.338,0.000,WAIT,idle,2,1,-0.291,10.843,-3.478,0.168,0.132,0.012,1.2857
1786527781.438,0.000,WAIT,idle,2,1,-0.279,10.842,-3.480,0.122,0.091,-0.003,1.2888
1786527781.538,0.000,WAIT,idle,2,1,-0.267,10.841,-3.482,0.135,0.126,-0.002,1.2886
1786527781.638,0.000,WAIT,idle,2,1,-0.258,10.838,-3.484,0.095,0.127,0.013,1.2861
1786527781.738,0.000,WAIT,idle,2,1,-0.252,10.839,-3.485,0.082,0.100,-0.001,1.2848
1786527781.838,0.000,WAIT,idle,2,1,-0.248,10.844,-3.487,0.104,0.157,0.016,1.2839
1786527781.938,0.000,WAIT,idle,2,1,-0.248,10.844,-3.487,0.022,0.073,0.012,1.2824
1786527782.038,0.000,WAIT,idle,2,1,-0.248,10.844,-3.487,0.074,0.129,0.029,1.2823
1786527782.138,0.000,WAIT,idle,2,1,-0.250,10.846,-3.487,0.074,0.151,0.026,1.2844
1786527782.239,0.000,WAIT,idle,2,1,-0.253,10.851,-3.487,0.054,0.100,0.027,1.2878
1786527782.339,0.000,WAIT,idle,2,1,-0.257,10.855,-3.484,0.046,0.139,0.049,1.2878
1786527782.438,0.000,WAIT,idle,2,1,-0.260,10.863,-3.481,0.022,0.107,0.046,1.2867
1786527782.538,0.000,WAIT,idle,2,1,-0.264,10.870,-3.478,0.031,0.145,0.057,1.2854
1786527782.638,0.000,WAIT,idle,2,1,-0.273,10.879,-3.473,0.018,0.157,0.062,1.2837
1786527782.738,0.000,WAIT,idle,2,1,-0.281,10.885,-3.469,-0.005,0.154,0.059,1.2823
