t_wall,t_seq,state,stage,nav_state,armed,x,y,z,vx,vy,vz,heading
1786526917.068,0.000,WAIT,idle,-1,0,-1.471,22.794,-1.236,-0.036,-0.086,-0.703,0.7656
1786526917.167,0.000,WAIT,idle,2,1,-1.478,22.787,-1.296,-0.057,-0.055,-0.518,0.7843
1786526917.267,0.000,WAIT,idle,2,1,-1.484,22.781,-1.330,-0.047,-0.021,-0.311,0.8093
1786526917.367,0.000,WAIT,idle,2,1,-1.491,22.776,-1.356,-0.028,-0.026,-0.262,0.8391
1786526917.467,0.000,WAIT,idle,2,1,-1.498,22.768,-1.376,0.011,0.014,-0.233,0.8727
1786526917.567,0.000,WAIT,idle,2,1,-1.504,22.760,-1.394,-0.025,-0.031,-0.157,0.9191
1786526917.667,0.000,WAIT,idle,2,1,-1.512,22.749,-1.404,0.008,-0.007,-0.012,0.9685
1786526917.767,0.000,WAIT,idle,2,1,-1.516,22.739,-1.404,0.008,-0.021,0.019,1.0264
1786526917.867,0.000,WAIT,idle,2,1,-1.519,22.729,-1.409,-0.008,-0.035,-0.065,1.0880
1786526917.967,0.000,WAIT,idle,2,1,-1.523,22.721,-1.421,-0.004,0.009,-0.097,1.1508
1786526918.067,0.000,WAIT,idle,2,1,-1.528,22.716,-1.435,0.052,0.018,-0.102,1.2016
1786526918.167,0.000,WAIT,idle,2,1,-1.532,22.714,-1.452,0.021,0.019,-0.120,1.2441
1786526918.267,0.000,WAIT,idle,2,1,-1.537,22.715,-1.470,0.074,0.032,-0.114,1.2776
1786526918.367,0.000,WAIT,idle,2,1,-1.544,22.717,-1.486,0.057,0.029,-0.102,0.6115
1786526918.467,0.000,WAIT,idle,2,1,-1.549,22.722,-1.500,0.106,0.035,-0.083,0.6175
1786526918.567,0.000,WAIT,idle,2,1,-1.553,22.734,-1.515,0.075,0.070,-0.097,0.6288
1786526918.667,0.000,WAIT,idle,2,1,-1.559,22.748,-1.529,0.078,0.067,-0.099,0.6314
1786526918.767,0.000,WAIT,idle,2,1,-1.565,22.763,-1.544,0.101,0.061,-0.093,0.6318
1786526918.867,0.000,WAIT,idle,2,1,-1.574,22.777,-1.558,0.071,0.062,-0.096,0.6285
1786526918.967,0.000,WAIT,idle,2,1,-1.581,22.793,-1.572,0.098,0.062,-0.077,0.6239
