t_wall,t_seq,state,stage,nav_state,armed,x,y,z,vx,vy,vz,heading
1786526796.906,0.000,WAIT,idle,-1,0,-4.762,19.894,-1.632,0.050,-0.024,0.005,1.1463
1786526797.005,0.000,WAIT,idle,-1,0,-4.765,19.897,-1.633,0.070,0.025,-0.008,1.1488
1786526797.105,0.000,WAIT,idle,-1,0,-4.763,19.899,-1.634,0.052,-0.004,0.004,1.1505
1786526797.205,0.000,WAIT,idle,-1,0,-4.763,19.901,-1.635,0.062,0.002,-0.008,1.1518
1786526797.305,0.000,WAIT,idle,-1,0,-4.763,19.904,-1.637,0.055,-0.020,-0.014,1.1515
1786526797.406,0.001,ENGAGED,idle,14,1,-4.762,19.907,-1.639,0.037,-0.017,-0.012,1.1507
1786526797.506,0.101,ENGAGED,SETTLE 0/4s,14,1,-4.759,19.910,-1.642,0.086,0.024,-0.004,1.1507
1786526797.605,0.200,ENGAGED,SETTLE 0/4s,14,1,-4.754,19.914,-1.645,0.057,-0.004,-0.011,1.1548
1786526797.705,0.300,ENGAGED,SETTLE 0/4s,14,1,-4.750,19.916,-1.647,0.057,0.019,-0.009,1.1579
1786526797.805,0.400,ENGAGED,SETTLE 0/4s,14,1,-4.748,19.917,-1.650,0.069,0.033,-0.003,1.1608
1786526797.905,0.500,ENGAGED,SETTLE 0/4s,14,1,-4.745,19.918,-1.653,0.026,0.023,0.001,1.1629
1786526798.006,0.601,ENGAGED,SETTLE 1/4s,14,1,-4.743,19.920,-1.654,0.019,0.011,0.009,1.1638
1786526798.105,0.700,ENGAGED,SETTLE 1/4s,14,1,-4.743,19.923,-1.656,0.007,0.026,0.011,1.1643
1786526798.206,0.800,ENGAGED,SETTLE 1/4s,14,1,-4.743,19.927,-1.657,-0.018,-0.014,0.014,1.1635
1786526798.305,0.900,ENGAGED,SETTLE 1/4s,14,1,-4.745,19.929,-1.658,-0.005,0.036,0.026,1.1612
1786526798.405,1.000,ENGAGED,SETTLE 1/4s,14,1,-4.750,19.932,-1.658,0.003,0.022,0.032,1.1585
1786526798.505,1.100,ENGAGED,SETTLE 1/4s,14,1,-4.758,19.937,-1.657,-0.013,0.042,0.035,1.1560
1786526798.605,1.200,ENGAGED,SETTLE 1/4s,14,1,-4.766,19.944,-1.657,-0.067,0.006,0.022,1.1532
1786526798.705,1.300,ENGAGED,SETTLE 1/4s,14,1,-4.775,19.951,-1.657,-0.021,0.062,0.027,1.1519
1786526798.806,1.400,ENGAGED,SETTLE 1/4s,14,1,-4.782,19.956,-1.657,-0.018,0.048,0.027,1.1510
