t_wall,t_seq,state,stage,nav_state,armed,x,y,z,vx,vy,vz,heading
1785820348.691,0.000,WAIT,idle,-1,0,0.010,-0.005,0.005,0.007,-0.011,0.005,1.5452
1785820348.791,0.000,WAIT,idle,-1,0,0.010,-0.005,0.005,0.008,-0.011,0.006,1.5451
1785820348.891,0.000,WAIT,idle,-1,0,0.011,-0.004,0.006,0.006,-0.008,0.005,1.5452
1785820348.991,0.000,WAIT,idle,-1,0,0.011,-0.004,0.006,0.005,-0.006,0.004,1.5453
1785820349.091,0.000,WAIT,idle,-1,0,0.010,-0.003,0.006,0.003,-0.004,0.003,1.5457
1785820349.191,0.000,WAIT,idle,-1,0,0.010,-0.002,0.007,0.001,-0.004,0.002,1.5463
1785820349.291,0.000,WAIT,idle,-1,0,0.009,-0.002,0.006,-0.001,-0.005,0.002,1.5465
1785820349.391,0.000,WAIT,idle,-1,0,0.008,-0.001,0.006,0.002,-0.002,0.003,1.5462
1785820349.491,0.000,WAIT,idle,-1,0,0.008,-0.000,0.005,0.000,0.001,0.002,1.5460
1785820349.591,0.000,WAIT,idle,-1,0,0.008,0.001,0.005,-0.000,0.003,0.001,1.5462
1785820349.691,0.000,WAIT,idle,-1,0,0.008,0.001,0.004,0.001,0.004,-0.001,1.5463
1785820349.791,0.000,WAIT,idle,-1,0,0.008,0.002,0.004,0.004,0.005,-0.000,1.5461
1785820349.891,0.000,WAIT,idle,-1,0,0.008,0.002,0.004,0.005,0.005,-0.000,1.5460
1785820349.991,0.000,WAIT,idle,-1,0,0.008,0.002,0.003,0.004,0.004,-0.003,1.5460
1785820350.091,0.000,WAIT,idle,-1,0,0.008,0.003,0.003,0.007,0.003,-0.004,1.5462
1785820350.191,0.000,WAIT,idle,-1,0,0.008,0.002,0.002,0.007,0.001,-0.007,1.5464
1785820350.291,0.000,WAIT,idle,-1,0,0.008,0.002,0.000,0.008,0.001,-0.008,1.5463
1785820350.391,0.000,WAIT,idle,-1,0,0.008,0.002,-0.001,0.009,0.004,-0.011,1.5463
1785820350.491,0.000,WAIT,idle,-1,0,0.008,0.002,-0.002,0.008,0.004,-0.010,1.5463
1785820350.591,0.000,WAIT,idle,-1,0,0.007,0.002,-0.003,0.003,0.002,-0.007,1.5465
1785820350.691,0.000,WAIT,idle,-1,0,0.007,0.002,-0.003,0.002,0.001,-0.006,1.5465
1785820350.791,0.000,WAIT,idle,-1,0,0.006,0.002,-0.003,0.002,0.002,-0.004,1.5464
1785820350.891,0.000,WAIT,idle,-1,0,0.005,0.002,-0.003,-0.002,0.003,-0.003,1.5465
1785820350.991,0.000,WAIT,idle,-1,0,0.004,0.002,-0.003,-0.005,0.002,-0.003,1.5467
1785820351.091,0.000,WAIT,idle,-1,0,0.003,0.002,-0.003,-0.008,0.002,-0.001,1.5469
1785820351.191,0.000,WAIT,idle,-1,0,0.002,0.003,-0.002,-0.008,0.004,0.000,1.5469
1785820351.291,0.000,WAIT,idle,-1,0,0.001,0.003,-0.002,-0.006,0.003,0.001,1.5469
1785820351.391,0.000,WAIT,idle,-1,0,0.001,0.003,-0.002,-0.004,0.003,0.001,1.5470
1785820351.491,0.000,WAIT,idle,-1,0,0.001,0.003,-0.001,-0.002,0.003,-0.001,1.5473
1785820351.591,0.000,WAIT,idle,-1,0,0.002,0.003,-0.001,-0.002,0.004,-0.001,1.5474
1785820351.691,0.000,WAIT,idle,-1,0,0.002,0.003,-0.000,-0.001,0.002,0.001,1.5476
