t_wall,t_seq,state,stage,nav_state,armed,x,y,z,vx,vy,vz,heading
1785822328.347,0.000,WAIT,idle,2,0,-0.004,0.002,-0.001,0.004,0.008,-0.000,1.5500
1785822328.447,0.000,WAIT,idle,2,0,-0.004,0.002,-0.001,0.003,0.008,0.001,1.5499
1785822328.547,0.000,WAIT,idle,2,0,-0.004,0.003,-0.000,0.003,0.008,0.001,1.5498
1785822328.647,0.000,WAIT,idle,2,0,-0.004,0.003,-0.000,0.002,0.010,0.001,1.5495
1785822328.747,0.000,WAIT,idle,2,0,-0.004,0.004,0.000,0.001,0.012,0.001,1.5496
1785822328.847,0.000,WAIT,idle,2,0,-0.005,0.004,0.000,-0.002,0.013,0.002,1.5496
1785822328.947,0.000,WAIT,idle,2,0,-0.006,0.004,0.001,-0.003,0.012,-0.000,1.5496
1785822329.047,0.000,WAIT,idle,2,0,-0.006,0.004,0.001,-0.003,0.008,0.000,1.5497
1785822329.146,0.000,WAIT,idle,2,0,-0.007,0.004,0.001,-0.008,0.008,0.001,1.5499
1785822329.246,0.000,WAIT,idle,2,0,-0.008,0.004,0.001,-0.010,0.008,0.001,1.5499
1785822329.346,0.000,WAIT,idle,2,0,-0.009,0.004,0.001,-0.011,0.008,-0.002,1.5503
1785822329.447,0.000,WAIT,idle,2,0,-0.010,0.003,0.001,-0.010,0.005,-0.001,1.5506
1785822329.546,0.000,WAIT,idle,2,0,-0.010,0.002,0.001,-0.012,0.003,-0.001,1.5506
1785822329.647,0.000,WAIT,idle,2,0,-0.010,0.002,0.001,-0.009,0.004,0.000,1.5505
1785822329.746,0.000,WAIT,idle,2,0,-0.010,0.001,0.001,-0.007,0.002,0.001,1.5503
1785822329.847,0.000,WAIT,idle,2,1,-0.009,0.000,0.002,-0.002,0.001,0.002,1.5503
1785822329.946,0.000,WAIT,idle,2,1,-0.008,-0.001,0.002,0.002,-0.001,0.001,1.5502
1785822330.046,0.000,WAIT,idle,2,1,-0.007,-0.001,0.002,0.005,-0.001,0.003,1.5501
1785822330.147,0.000,WAIT,idle,2,1,-0.006,-0.002,0.003,0.004,-0.001,0.001,1.5501
1785822330.247,0.000,WAIT,idle,2,1,-0.005,-0.003,0.003,0.002,-0.002,0.002,1.5503
1785822330.347,0.000,WAIT,idle,2,1,-0.005,-0.003,0.003,0.002,-0.002,0.001,1.5504
1785822330.447,0.000,WAIT,idle,2,1,-0.005,-0.003,0.003,0.004,-0.004,0.002,1.5505
1785822330.547,0.000,WAIT,idle,2,1,-0.004,-0.003,0.003,0.007,-0.002,0.001,1.5504
1785822330.647,0.000,WAIT,idle,2,1,-0.003,-0.003,0.003,0.009,-0.003,0.002,1.5504
1785822330.747,0.000,WAIT,idle,2,1,-0.002,-0.003,0.003,0.011,-0.001,0.003,1.5503
1785822330.846,0.000,WAIT,idle,2,1,-0.002,-0.003,0.003,0.013,-0.002,0.003,1.5502
1785822330.946,0.000,WAIT,idle,2,1,-0.001,-0.003,0.002,0.010,-0.003,0.003,1.5500
1785822331.047,0.000,WAIT,idle,2,1,-0.001,-0.003,0.002,0.009,-0.002,0.003,1.5498
1785822331.147,0.000,WAIT,idle,2,1,-0.001,-0.003,0.002,0.009,-0.003,0.003,1.5495
1785822331.246,0.000,WAIT,idle,2,1,-0.001,-0.002,0.002,0.009,-0.002,0.002,1.5497
1785822331.346,0.000,WAIT,idle,2,1,-0.001,-0.002,0.001,0.008,-0.001,0.000,1.5496
1785822331.446,0.000,WAIT,idle,2,1,-0.001,-0.002,0.001,0.008,-0.003,0.001,1.5496
1785822331.546,0.000,WAIT,idle,2,1,-0.001,-0.002,0.000,0.008,-0.001,-0.001,1.5497
1785822331.647,0.000,WAIT,idle,2,1,-0.001,-0.002,-0.000,0.007,0.003,0.000,1.5497
1785822331.746,0.000,WAIT,idle,2,1,-0.001,-0.002,-0.000,0.006,-0.001,0.000,1.5496
1785822331.847,0.000,WAIT,idle,2,1,-0.001,-0.002,-0.000,0.005,-0.000,-0.000,1.5497
1785822331.946,0.000,WAIT,idle,2,1,-0.002,-0.001,0.000,0.002,0.001,-0.001,1.5497
1785822332.046,0.000,WAIT,idle,2,1,-0.003,-0.001,0.001,0.001,-0.002,0.000,1.5497
1785822332.147,0.000,WAIT,idle,2,1,-0.004,-0.002,0.001,-0.001,-0.005,0.001,1.5497
1785822332.247,0.000,WAIT,idle,2,1,-0.005,-0.002,0.001,-0.006,-0.001,0.001,1.5495
1785822332.346,0.000,WAIT,idle,2,1,-0.006,-0.002,0.002,0.001,-0.007,0.001,1.5516
1785822332.447,0.000,WAIT,idle,2,1,-0.006,-0.002,0.001,0.001,-0.017,-0.019,1.5562
1785822332.546,0.000,WAIT,idle,2,1,-0.007,-0.004,-0.004,-0.010,-0.033,-0.104,1.5558
1785822332.646,0.000,WAIT,idle,2,1,-0.007,-0.008,-0.028,-0.003,-0.025,-0.311,1.5502
1785822332.747,0.000,WAIT,idle,2,1,-0.006,-0.010,-0.080,0.010,0.003,-0.564,1.5492
1785822332.846,0.000,WAIT,idle,2,1,-0.004,-0.009,-0.143,0.023,0.013,-0.721,1.5506
1785822332.946,0.000,WAIT,idle,2,1,-0.001,-0.006,-0.225,0.024,0.049,-0.818,1.5507
1785822333.047,0.000,WAIT,idle,2,1,0.002,-0.001,-0.308,0.032,0.058,-0.876,1.5507
1785822333.147,0.000,WAIT,idle,2,1,0.006,0.007,-0.417,0.034,0.064,-0.926,1.5502
1785822333.246,0.000,WAIT,idle,2,1,0.009,0.014,-0.517,0.030,0.073,-0.963,1.5505
1785822333.346,0.000,WAIT,idle,2,1,0.013,0.022,-0.635,0.026,0.072,-0.997,1.5513
1785822333.447,0.000,WAIT,idle,2,1,0.016,0.028,-0.756,0.020,0.064,-1.028,1.5516
1785822333.546,0.000,WAIT,idle,2,1,0.019,0.033,-0.882,0.015,0.053,-1.059,1.5527
1785822333.647,0.000,WAIT,idle,2,1,0.020,0.036,-0.984,0.017,0.030,-1.082,1.5528
1785822333.747,0.000,WAIT,idle,2,1,0.021,0.039,-1.116,0.013,0.018,-1.108,1.5529
1785822333.847,0.000,WAIT,idle,2,1,0.022,0.040,-1.232,0.004,0.020,-1.129,1.5534
1785822333.947,0.000,WAIT,idle,2,1,0.023,0.040,-1.342,0.007,-0.004,-1.149,1.5528
1785822334.047,0.000,WAIT,idle,2,1,0.024,0.039,-1.462,0.001,-0.009,-1.168,1.5510
1785822334.146,0.000,WAIT,idle,2,1,0.024,0.036,-1.603,-0.003,-0.016,-1.189,1.5501
1785822334.246,0.000,WAIT,idle,2,1,0.024,0.033,-1.747,-0.010,-0.018,-1.210,1.5497
1785822334.347,0.000,WAIT,idle,2,1,0.024,0.031,-1.893,-0.016,-0.022,-1.229,1.5500
1785822334.446,0.000,WAIT,idle,2,1,0.023,0.028,-2.042,-0.018,-0.022,-1.244,1.5498
1785822334.547,0.000,WAIT,idle,2,1,0.021,0.025,-2.192,-0.019,-0.027,-1.259,1.5503
1785822334.646,0.000,WAIT,idle,2,1,0.020,0.023,-2.344,-0.020,-0.032,-1.279,1.5506
1785822334.746,0.000,WAIT,idle,2,1,0.018,0.020,-2.497,-0.016,-0.036,-1.292,1.5512
1785822334.846,0.000,WAIT,idle,2,1,0.017,0.018,-2.621,-0.022,-0.027,-1.303,1.5514
1785822334.946,0.000,WAIT,idle,2,1,0.015,0.015,-2.778,-0.021,-0.022,-1.315,1.5517
1785822335.046,0.000,WAIT,idle,2,1,0.014,0.013,-2.936,-0.021,-0.022,-1.328,1.5511
1785822335.146,0.000,WAIT,idle,2,1,0.012,0.010,-3.092,-0.018,-0.024,-1.268,1.5502
1785822335.246,0.000,WAIT,idle,2,1,0.011,0.008,-3.215,-0.012,-0.032,-1.089,1.5483
