t_wall,t_seq,state,stage,nav_state,armed,x,y,z,vx,vy,vz,heading
1785822457.495,0.000,WAIT,idle,2,0,0.007,0.002,0.007,0.001,0.004,0.000,1.5468
1785822457.594,0.000,WAIT,idle,2,0,0.007,0.002,0.007,0.003,0.002,0.003,1.5469
1785822457.694,0.000,WAIT,idle,2,0,0.007,0.002,0.007,0.002,0.004,0.003,1.5468
1785822457.794,0.000,WAIT,idle,2,0,0.008,0.002,0.006,0.002,0.002,0.002,1.5468
1785822457.894,0.000,WAIT,idle,2,0,0.008,0.001,0.006,0.002,0.001,0.004,1.5468
1785822457.994,0.000,WAIT,idle,2,0,0.008,0.001,0.007,0.003,-0.000,0.003,1.5467
1785822458.094,0.000,WAIT,idle,2,0,0.009,0.001,0.007,0.004,-0.001,0.001,1.5468
1785822458.194,0.000,WAIT,idle,2,0,0.009,0.000,0.006,0.001,-0.002,-0.000,1.5470
1785822458.294,0.000,WAIT,idle,2,0,0.009,-0.000,0.006,-0.002,-0.000,-0.003,1.5471
1785822458.394,0.000,WAIT,idle,2,0,0.008,-0.000,0.006,-0.003,-0.001,-0.003,1.5469
1785822458.494,0.000,WAIT,idle,2,0,0.008,-0.000,0.006,-0.002,-0.001,-0.002,1.5467
1785822458.594,0.000,WAIT,idle,2,0,0.007,-0.000,0.006,-0.002,-0.002,-0.003,1.5465
1785822458.694,0.000,WAIT,idle,2,0,0.007,-0.000,0.006,-0.003,0.001,-0.001,1.5465
1785822458.794,0.000,WAIT,idle,2,0,0.006,-0.000,0.006,-0.004,0.000,-0.000,1.5465
1785822458.894,0.000,WAIT,idle,2,0,0.005,-0.000,0.006,-0.002,-0.002,-0.000,1.5463
1785822458.994,0.000,WAIT,idle,2,0,0.005,-0.000,0.005,-0.002,0.000,-0.001,1.5461
1785822459.094,0.000,WAIT,idle,2,0,0.005,-0.000,0.005,-0.001,0.001,0.001,1.5461
1785822459.194,0.000,WAIT,idle,2,0,0.006,0.000,0.005,-0.000,0.002,0.003,1.5463
1785822459.294,0.000,WAIT,idle,2,0,0.006,0.000,0.005,0.002,0.001,0.004,1.5465
1785822459.394,0.000,WAIT,idle,2,0,0.006,0.001,0.005,0.001,0.004,0.001,1.5466
1785822459.494,0.000,WAIT,idle,2,0,0.007,0.001,0.005,-0.000,0.006,0.001,1.5467
1785822459.594,0.000,WAIT,idle,2,0,0.006,0.002,0.005,-0.002,0.007,0.001,1.5468
1785822459.694,0.000,WAIT,idle,2,0,0.006,0.002,0.005,-0.002,0.009,-0.001,1.5469
1785822459.794,0.000,WAIT,idle,2,0,0.005,0.004,0.005,-0.003,0.012,-0.001,1.5471
1785822459.894,0.000,WAIT,idle,2,0,0.005,0.004,0.005,-0.003,0.011,-0.000,1.5472
1785822459.994,0.000,WAIT,idle,2,0,0.004,0.004,0.005,-0.005,0.007,-0.003,1.5471
1785822460.094,0.000,WAIT,idle,2,0,0.004,0.004,0.005,-0.005,0.003,-0.003,1.5468
1785822460.194,0.000,WAIT,idle,2,0,0.003,0.003,0.005,-0.002,0.005,-0.003,1.5467
1785822460.294,0.000,WAIT,idle,2,0,0.004,0.003,0.005,0.003,0.003,-0.005,1.5465
1785822460.394,0.000,WAIT,idle,2,0,0.005,0.002,0.005,0.004,0.003,-0.003,1.5466
1785822460.494,0.000,WAIT,idle,2,0,0.006,0.001,0.005,0.006,0.001,-0.002,1.5469
1785822460.594,0.000,WAIT,idle,2,0,0.007,0.001,0.005,0.003,-0.001,0.001,1.5468
1785822460.694,0.000,WAIT,idle,2,0,0.007,0.000,0.006,0.001,0.000,0.002,1.5467
1785822460.794,0.000,WAIT,idle,2,0,0.007,0.000,0.006,0.004,-0.000,0.004,1.5467
1785822460.894,0.000,WAIT,idle,2,0,0.008,-0.000,0.007,0.006,0.000,0.003,1.5464
1785822460.994,0.000,WAIT,idle,2,0,0.008,-0.000,0.007,0.006,0.000,0.002,1.5464
1785822461.094,0.000,WAIT,idle,2,0,0.009,-0.000,0.006,0.008,-0.000,0.002,1.5468
1785822461.194,0.000,WAIT,idle,2,0,0.009,-0.001,0.006,0.009,0.000,0.002,1.5470
1785822461.294,0.000,WAIT,idle,2,0,0.009,-0.001,0.006,0.008,0.001,0.002,1.5474
1785822461.394,0.000,WAIT,idle,2,0,0.008,-0.000,0.006,0.007,-0.000,0.001,1.5476
1785822461.494,0.000,WAIT,idle,2,0,0.008,-0.001,0.006,0.007,-0.002,-0.002,1.5476
1785822461.594,0.000,WAIT,idle,2,0,0.007,-0.000,0.005,0.006,0.002,-0.001,1.5475
1785822461.694,0.000,WAIT,idle,2,0,0.007,0.000,0.006,0.005,0.001,-0.002,1.5473
1785822461.794,0.000,WAIT,idle,2,0,0.007,0.000,0.006,0.006,0.001,-0.002,1.5471
1785822461.894,0.000,WAIT,idle,2,0,0.007,0.000,0.006,0.004,-0.000,-0.003,1.5471
1785822461.994,0.000,WAIT,idle,2,0,0.007,0.000,0.006,0.000,0.000,-0.001,1.5472
1785822462.094,0.000,WAIT,idle,2,0,0.007,-0.000,0.007,0.003,-0.001,-0.001,1.5474
1785822462.194,0.000,WAIT,idle,2,0,0.007,-0.000,0.008,0.004,-0.003,0.001,1.5474
1785822462.294,0.000,WAIT,idle,2,0,0.007,-0.000,0.008,0.004,-0.003,0.000,1.5475
1785822462.394,0.000,WAIT,idle,2,0,0.007,-0.001,0.009,0.002,-0.004,0.003,1.5478
1785822462.494,0.000,WAIT,idle,2,0,0.006,-0.001,0.009,0.002,-0.002,0.001,1.5475
1785822462.594,0.000,WAIT,idle,2,0,0.006,-0.001,0.009,0.001,-0.004,0.001,1.5473
1785822462.694,0.000,WAIT,idle,2,0,0.006,-0.001,0.009,0.000,-0.006,0.002,1.5473
1785822462.794,0.000,WAIT,idle,2,0,0.006,-0.002,0.009,0.003,-0.006,0.002,1.5474
1785822462.894,0.000,WAIT,idle,2,0,0.007,-0.002,0.009,0.006,-0.006,0.002,1.5474
1785822462.994,0.000,WAIT,idle,2,0,0.008,-0.002,0.009,0.011,-0.006,0.002,1.5473
1785822463.094,0.000,WAIT,idle,2,0,0.009,-0.002,0.009,0.013,-0.004,0.004,1.5473
1785822463.194,0.000,WAIT,idle,2,0,0.010,-0.001,0.010,0.015,-0.001,0.005,1.5472
1785822463.294,0.000,WAIT,idle,2,0,0.010,-0.001,0.010,0.015,-0.000,0.004,1.5474
