t,nav,armed,sp_x,sp_y,sp_alt,x,y,alt,eph,epv,xy_valid,z_valid,rst_xy,rst_z
0.011,-1,0,nan,nan,nan,nan,nan,nan,nan,nan,1,1,0,0
0.100,-1,0,nan,nan,nan,9.3753,-0.0358,5.3607,0.036,0.164,1,1,3,2
0.204,-1,0,nan,nan,nan,9.3753,-0.0359,5.3586,0.036,0.167,1,1,3,2
0.307,-1,0,nan,nan,nan,9.3755,-0.0362,5.3560,0.036,0.167,1,1,3,2
0.408,-1,0,nan,nan,nan,9.3758,-0.0365,5.3541,0.036,0.166,1,1,3,2
0.501,-1,0,nan,nan,nan,9.3761,-0.0368,5.3522,0.036,0.165,1,1,3,2
0.603,-1,0,nan,nan,nan,9.3763,-0.0370,5.3503,0.036,0.169,1,1,3,2
0.708,-1,0,nan,nan,nan,9.3767,-0.0374,5.3487,0.036,0.163,1,1,3,2
0.809,1,0,nan,nan,nan,9.3770,-0.0376,5.3471,0.036,0.166,1,1,3,2
0.904,1,0,nan,nan,nan,9.3774,-0.0377,5.3458,0.036,0.164,1,1,3,2
1.010,1,0,nan,nan,nan,9.3780,-0.0379,5.3447,0.036,0.164,1,1,3,2
1.101,1,0,nan,nan,nan,9.3786,-0.0381,5.3434,0.036,0.164,1,1,3,2
1.201,1,0,nan,nan,nan,9.3789,-0.0384,5.3426,0.036,0.167,1,1,3,2
1.310,1,0,nan,nan,nan,9.3792,-0.0387,5.3421,0.036,0.166,1,1,3,2
1.403,1,0,nan,nan,nan,9.3796,-0.0394,5.3411,0.036,0.166,1,1,3,2
1.502,1,0,nan,nan,nan,9.3798,-0.0397,5.3404,0.036,0.164,1,1,3,2
1.601,1,0,nan,nan,nan,9.3801,-0.0401,5.3394,0.036,0.168,1,1,3,2
1.703,1,0,nan,nan,nan,9.3801,-0.0402,5.3393,0.036,0.168,1,1,3,2
1.801,1,0,nan,nan,nan,9.3809,-0.0413,5.3387,0.036,0.166,1,1,3,2
1.905,1,0,nan,nan,nan,9.3812,-0.0416,5.3387,0.036,0.163,1,1,3,2
2.000,1,0,nan,nan,nan,9.3818,-0.0423,5.3383,0.036,0.164,1,1,3,2
2.100,1,0,nan,nan,nan,9.3822,-0.0428,5.3385,0.036,0.163,1,1,3,2
2.204,1,0,nan,nan,nan,9.3830,-0.0437,5.3400,0.036,0.163,1,1,3,2
2.308,1,0,nan,nan,nan,9.3836,-0.0442,5.3414,0.036,0.167,1,1,3,2
2.406,1,0,nan,nan,nan,9.3844,-0.0448,5.3423,0.036,0.167,1,1,3,2
2.504,1,0,nan,nan,nan,9.3850,-0.0453,5.3429,0.036,0.165,1,1,3,2
2.602,1,0,nan,nan,nan,9.3854,-0.0457,5.3429,0.036,0.169,1,1,3,2
2.707,1,0,nan,nan,nan,9.3854,-0.0457,5.3429,0.036,0.169,1,1,3,2
2.805,1,0,nan,nan,nan,9.3865,-0.0468,5.3427,0.036,0.167,1,1,3,2
2.904,1,0,nan,nan,nan,9.3872,-0.0474,5.3424,0.036,0.166,1,1,3,2
3.001,1,0,nan,nan,nan,9.3880,-0.0479,5.3424,0.036,0.165,1,1,3,2
3.107,1,0,nan,nan,nan,9.3887,-0.0482,5.3423,0.036,0.164,1,1,3,2
3.200,1,0,nan,nan,nan,9.3895,-0.0488,5.3421,0.036,0.163,1,1,3,2
3.304,1,0,nan,nan,nan,9.3902,-0.0493,5.3416,0.036,0.167,1,1,3,2
